word_id,mean_id
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
3,9
4,10
5,11
6,12
7,13
8,14
9,15
9,16
10,17
11,18
12,19
13,20
15,21
17,22
18,23
19,24
20,25
21,26
22,27
24,28
25,29
25,30
26,31
27,32
28,33
28,34
28,35
29,36
30,37
31,38
31,39
31,40
31,41
31,42
32,43
32,44
32,45
32,46
32,47
33,48
33,49
34,50
34,51
34,52
35,53
35,54
35,55
35,56
35,57
35,58
35,59
35,60
35,61
35,62
36,63
36,64
36,65
36,66
36,67
36,68
36,69
36,70
36,71
36,72
37,73
37,74
38,75
38,76
38,77
38,78
38,79
39,80
39,81
39,82
39,83
40,84
40,85
40,86
40,87
41,88
41,89
41,90
42,91
43,92
43,93
43,94
43,95
43,96
43,97
43,98
43,99
43,100
44,101
44,102
45,103
45,104
46,105
46,106
46,107
46,108
46,109
46,110
46,111
47,112
48,113
49,114
49,115
51,116
53,117
54,118
54,119
54,120
55,121
56,122
56,123
56,124
56,125
56,126
56,127
56,128
57,129
58,130
58,131
58,132
58,133
60,134
60,135
61,136
61,137
61,138
61,139
61,140
61,141
61,142
61,143
62,144
63,145
64,146
65,147
65,148
65,149
65,150
67,151
67,152
67,153
68,154
68,155
68,156
68,157
69,158
69,159
70,160
70,161
71,162
71,163
71,164
72,165
72,166
72,167
72,168
72,169
72,170
73,171
74,172
75,173
75,174
75,175
76,176
77,177
77,178
77,179
77,180
77,181
78,182
78,183
81,184
81,185
81,186
82,187
83,188
83,189
86,190
88,191
88,192
88,193
88,194
88,195
89,196
90,197
90,198
91,199
91,200
92,201
92,202
93,203
93,204
93,205
94,206
95,207
95,208
95,209
96,210
97,211
98,212
99,213
99,214
99,215
99,216
99,217
99,218
99,219
99,220
99,221
101,222
101,223
102,224
103,225
104,226
104,227
104,228
104,229
105,230
105,231
105,232
105,233
105,234
105,235
105,236
105,237
105,238
105,239
105,240
105,241
105,242
106,243
106,244
106,245
106,246
106,247
107,248
107,249
107,250
108,251
109,252
110,253
110,254
111,255
111,256
111,257
111,258
111,259
111,260
111,261
112,262
112,263
112,264
112,265
112,266
113,267
115,268
116,269
117,270
118,271
118,272
120,273
120,274
121,275
121,276
122,277
122,278
122,279
122,280
122,281
122,282
123,283
123,284
123,285
123,286
123,287
124,288
126,289
127,290
128,291
129,292
129,293
129,294
129,295
129,296
129,297
130,298
131,299
131,300
132,301
133,302
133,303
133,304
133,305
134,306
134,307
134,308
134,309
134,310
134,311
134,312
135,313
136,314
136,315
136,316
136,317
136,318
136,319
137,320
137,321
137,322
137,323
138,324
138,325
138,326
138,327
138,328
139,329
139,330
139,331
140,332
140,333
141,334
141,335
141,336
141,337
141,338
142,339
142,340
142,341
142,342
142,343
143,344
144,345
144,346
145,347
145,348
146,349
146,350
146,351
147,352
147,353
148,354
149,355
149,356
149,357
149,358
149,359
150,360
150,361
150,362
151,363
151,364
151,365
152,366
152,367
152,368
152,369
153,370
154,371
154,372
154,373
154,374
155,375
155,376
155,377
155,378
156,379
157,380
157,381
157,382
157,383
158,384
158,385
159,386
159,387
159,388
159,389
159,390
159,391
159,392
159,393
159,394
159,395
159,396
159,397
159,398
160,399
160,400
160,401
160,402
160,403
160,404
161,405
161,406
162,407
162,408
162,409
163,410
164,411
164,412
164,413
164,414
164,415
165,416
166,417
166,418
166,419
166,420
167,421
168,422
168,423
168,424
168,425
168,426
168,427
168,428
168,429
168,430
168,431
168,432
168,433
168,434
168,435
169,436
170,437
171,438
171,439
172,440
172,441
172,442
172,443
172,444
175,445
177,446
177,447
177,448
177,449
177,450
178,451
179,452
180,453
181,454
182,455
182,456
182,457
182,458
182,459
182,460
182,461
182,462
182,463
183,464
183,465
183,466
183,467
184,468
184,469
185,470
185,471
186,472
187,473
188,474
189,475
190,476
191,477
192,478
192,479
192,480
192,481
192,482
193,483
193,484
193,485
194,486
194,487
194,488
194,489
194,490
194,491
194,492
194,493
194,494
195,495
196,496
196,497
196,498
196,499
196,500
197,501
198,502
198,503
198,504
198,505
198,506
198,507
198,508
198,509
199,510
199,511
199,512
199,513
199,514
199,515
199,516
199,517
199,518
200,519
200,520
200,521
200,522
200,523
200,524
201,525
202,526
202,527
202,528
202,529
202,530
202,531
203,532
203,533
203,534
204,535
205,536
206,537
207,538
207,539
207,540
207,541
207,542
208,543
209,544
211,545
211,546
212,547
212,548
212,549
212,550
212,551
212,552
212,553
213,554
213,555
213,556
214,557
214,558
214,559
214,560
214,561
215,562
216,563
216,564
216,565
216,566
216,567
216,568
216,569
216,570
216,571
216,572
217,573
219,574
220,575
220,576
220,577
220,578
221,579
221,580
222,581
222,582
222,583
222,584
222,585
223,586
224,587
224,588
225,589
226,590
226,591
226,592
226,593
226,594
226,595
226,596
226,597
226,598
226,599
226,600
226,601
226,602
226,603
227,604
229,605
229,606
229,607
230,608
230,609
231,610
232,611
232,612
232,613
233,614
233,615
233,616
234,617
234,618
234,619
235,620
236,621
236,622
239,623
239,624
240,625
240,626
240,627
240,628
240,629
240,630
240,631
240,632
240,633
240,634
240,635
240,636
240,637
240,638
240,639
240,640
240,641
240,642
240,643
240,644
240,645
240,646
240,647
241,648
241,649
242,650
243,651
245,652
245,653
245,654
246,655
246,656
247,657
248,658
249,659
249,660
250,661
251,662
251,663
251,664
251,665
251,666
251,667
251,668
252,669
253,670
254,671
254,672
254,673
254,674
254,675
254,676
254,677
254,678
255,679
255,680
255,681
255,682
255,683
256,684
258,685
259,686
259,687
259,688
259,689
259,690
259,691
259,692
259,693
261,694
262,695
262,696
262,697
262,698
262,699
263,700
263,701
263,702
263,703
263,704
263,705
263,706
263,707
263,708
263,709
263,710
263,711
263,712
263,713
263,714
263,715
263,716
263,717
264,718
264,719
264,720
264,721
264,722
264,723
265,724
266,725
266,726
266,727
266,728
266,729
267,730
267,731
267,732
267,733
267,734
267,735
268,736
270,737
270,738
270,739
271,740
272,741
273,742
273,743
273,744
273,745
273,746
273,747
276,748
277,749
277,750
278,751
278,752
278,753
278,754
278,755
278,756
278,757
278,758
278,759
279,760
280,761
280,762
280,763
280,764
281,765
282,766
282,767
282,768
282,769
282,770
282,771
283,772
283,773
284,774
285,775
286,776
286,777
286,778
287,779
287,780
288,781
289,782
290,783
290,784
290,785
290,786
291,787
292,788
293,789
294,790
295,791
296,792
297,793
299,794
300,795
300,796
301,797
302,798
303,799
304,800
305,801
305,802
305,803
306,804
306,805
307,806
307,807
307,808
307,809
307,810
307,811
307,812
308,813
308,814
309,815
309,816
309,817
309,818
310,819
310,820
311,821
311,822
312,823
312,824
313,825
314,826
314,827
314,828
315,829
315,830
315,831
315,832
315,833
315,834
315,835
315,836
315,837
315,838
315,839
315,840
315,841
316,842
316,843
317,844
319,845
319,846
319,847
319,848
319,849
319,850
319,851
320,852
320,853
320,854
321,855
321,856
321,857
321,858
321,859
321,860
322,861
322,862
322,863
322,864
322,865
322,866
322,867
322,868
322,869
322,870
322,871
322,872
322,873
322,874
322,875
322,876
322,877
324,878
324,879
324,880
325,881
325,882
326,883
326,884
326,885
326,886
326,887
327,888
327,889
327,890
327,891
327,892
327,893
327,894
327,895
328,896
328,897
328,898
328,899
329,900
329,901
330,902
330,903
330,904
330,905
330,906
330,907
330,908
330,909
331,910
332,911
333,912
333,913
334,914
336,915
336,916
336,917
337,918
337,919
337,920
337,921
337,922
337,923
337,924
337,925
337,926
338,927
338,928
339,929
339,930
339,931
339,932
340,933
341,934
341,935
341,936
342,937
343,938
344,939
344,940
344,941
344,942
345,943
345,944
345,945
345,946
346,947
347,948
348,949
348,950
350,951
351,952
351,953
352,954
352,955
353,956
353,957
353,958
353,959
353,960
353,961
353,962
353,963
353,964
353,965
354,966
354,967
354,968
355,969
355,970
355,971
355,972
355,973
355,974
355,975
355,976
355,977
355,978
355,979
355,980
355,981
355,982
356,983
356,984
358,985
358,986
359,987
360,988
360,989
360,990
360,991
360,992
360,993
361,994
361,995
361,996
362,997
362,998
362,999
362,1000
362,1001
362,1002
363,1003
363,1004
363,1005
363,1006
364,1007
364,1008
364,1009
364,1010
364,1011
364,1012
364,1013
365,1014
365,1015
365,1016
365,1017
365,1018
365,1019
365,1020
365,1021
366,1022
367,1023
368,1024
369,1025
370,1026
370,1027
370,1028
370,1029
370,1030
370,1031
370,1032
371,1033
372,1034
372,1035
372,1036
372,1037
372,1038
373,1039
373,1040
374,1041
374,1042
375,1043
375,1044
375,1045
375,1046
375,1047
375,1048
375,1049
375,1050
375,1051
375,1052
375,1053
375,1054
375,1055
375,1056
375,1057
375,1058
375,1059
375,1060
375,1061
376,1062
377,1063
378,1064
378,1065
379,1066
